type,path,created_at,last_update
crawling,./scripts/webcrawler/crawled/cellphones.csv,2025-08-22 22:53:11,2025-08-22 22:53:11
crawling,./scripts/webcrawler/crawled/cellphones.csv,2025-08-22 22:53:11,2025-08-22 22:53:32
scraping,./scripts/webcrawler/scraped/cellphones/phones.csv,2025-08-22 22:58:32,2025-08-22 22:58:32
scraping,./scripts/webcrawler/scraped/cellphones/laptops.csv,2025-08-22 22:58:32,2025-08-22 22:58:32
scraping,./scripts/webcrawler/scraped/cellphones/laptops.csv,2025-08-22 22:58:32,2025-08-22 22:59:19
scraping,./scripts/webcrawler/scraped/cellphones/phones.csv,2025-08-22 22:58:32,2025-08-22 22:59:19
scraping,./scripts/webcrawler/scraped/cellphones/phones.csv,2025-08-22 22:58:32,2025-08-22 23:03:35
scraping,./scripts/webcrawler/scraped/cellphones/laptops.csv,2025-08-22 22:58:32,2025-08-22 23:03:35
scraping,./scripts/webcrawler/scraped/cellphones/phones.csv,2025-08-22 22:58:32,2025-08-22 23:04:56
scraping,./scripts/webcrawler/scraped/cellphones/laptops.csv,2025-08-22 22:58:32,2025-08-22 23:04:56
scraping,./scripts/webcrawler/scraped/cellphones/laptops.csv,2025-08-22 22:58:32,2025-08-22 23:06:03
scraping,./scripts/webcrawler/scraped/cellphones/phones.csv,2025-08-22 22:58:32,2025-08-22 23:06:03
crawling,./scripts/webcrawler/crawled/cellphones.csv,2025-08-22 22:53:11,2025-08-22 23:06:54
scraping,./scripts/webcrawler/scraped/cellphones/phones.csv,2025-08-22 22:58:32,2025-08-22 23:07:22
scraping,./scripts/webcrawler/scraped/cellphones/laptops.csv,2025-08-22 22:58:32,2025-08-22 23:07:22
crawling,./scripts/webcrawler/crawled/cellphones.csv,2025-08-22 22:53:11,2025-08-22 23:07:40
scraping,./scripts/webcrawler/scraped/cellphones/phones.csv,2025-08-22 22:58:32,2025-08-22 23:20:59
scraping,./scripts/webcrawler/scraped/cellphones/laptops.csv,2025-08-22 22:58:32,2025-08-22 23:20:59
scraping,./scripts/webcrawler/scraped/cellphones/phones.csv,2025-08-22 22:58:32,2025-08-22 23:23:30
scraping,./scripts/webcrawler/scraped/cellphones/laptops.csv,2025-08-22 22:58:32,2025-08-22 23:23:30
crawling,./scripts/webcrawler/crawled/cellphones.csv,2025-08-22 22:53:11,2025-08-22 23:24:37
crawling,./scripts/webcrawler/crawled/fptshop.csv,2025-08-22 22:53:11,2025-08-22 23:26:11
crawling,./scripts/webcrawler/crawled/thegioididong.csv,2025-08-22 22:53:11,2025-08-22 23:27:24
